Name,State,Party,Score,Lifetime Score,"H.R. 1968, Full-Year Continuing Appropriations and Extensions Act (H.R. 1968)","S.Con.Res.7, Senate 2025 Budget Resolution (S.Con.Res.7)","S.J.Res.37, A Joint Resolution Terminating the National Emergency Declared to Impose Duties on Articles Imported from Canada (S.J.Res.37)",Letter to President Trump demanding reinstatement of NLRB Member Gwynn Wilcox,"S.1582, GENIUS Act (S.1582)","H.R. 1, One Big Beautiful Bill Act (H.R. 1)",Nomination of Emil Bove (PN346-2),"S. 3386, Health Care Freedom for Patients Act (S. 3386)","S. 3385, Lower Health Care Costs Act (S. 3385)"
Sen. Bill Hagerty,TN,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ
Sen. John Cornyn,TX,Republican,0%,14%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Ted Cruz,TX,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. John Curtis,UT,Republican,11%,14%,✓,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Mike Lee,UT,Republican,11%,8%,✓,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Tim Kaine,VA,Democrat,100%,94%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Mark Warner,VA,Democrat,100%,91%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Bernard Sanders,VT,Independent,100%,98%,✓,✓,✓,✓,◯,✓,✓,✓,✓
Sen. Peter Welch,VT,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Maria Cantwell,WA,Democrat,100%,95%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Patty Murray,WA,Democrat,100%,96%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Tammy Baldwin,WI,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sen. Ron Johnson,WI,Republican,0%,10%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Shelley Moore Capito,WV,Republican,0%,29%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. James C. Justice,WV,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. John Barrasso,WY,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Sen. Cynthia M. Lummis,WY,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
