Name,State,District,Party,Score,Lifetime Score,Letter to President Trump demanding reinstatement of NLRB Member Gwynn Wilcox,"H.R. 77, the Midnight Rules Relief Act. (H.R. 77)","H.R. 1526, The No Rogue Ruling Act (“NORRA”) (H.R. 1526)","H.Con.Res.14, House Fiscal Year 2025 Budget Resolution (H.Con.Res.14)","H.R. 22, The Safeguard American Voter Eligibility (SAVE) Act (H.R. 22)","H.R. 1, One Big Beautiful Bill Act (H.R. 1)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.R. 1, One Big Beautiful Bill Act, Cruz Amendment (H.R. 1)","H.R. 3633, Digital Asset Market Clarity Act of 2025 (H.R. 3633)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.Res. 936, Rule for National Defense Authorization Act for Fiscal Year 2026 (H.Res. 936)","H.R. 2550, Protecting America's Workforce Act (H.R. 2550)","H.R. 6703, Lower Health Care Premiums for All Americans Act  (H.R. 6703)"
Rep. Adam Gray,CA,13,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Eric Swalwell,CA,14,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,◯,◯,◯
Rep. Kevin Mullin,CA,15,Democrat,92%,98%,✓,◯,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Sam T. Liccardo,CA,16,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Ro Khanna,CA,17,Democrat,92%,97%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Zoe Lofgren,CA,18,Democrat,92%,97%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Jimmy Panetta,CA,19,Democrat,92%,95%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Vince Fong,CA,20,Republican,0%,4%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Jim Costa,CA,21,Democrat,92%,86%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. David Valadao,CA,22,Republican,9%,26%,ｘ,ｘ,ｘ,◯,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Jay Obernolte,CA,23,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Salud Carbajal,CA,24,Democrat,92%,96%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Raul Ruiz,CA,25,Democrat,92%,96%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Julia Brownley,CA,26,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. George Whitesides,CA,27,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Judy Chu,CA,28,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Luz M. Rivas,CA,29,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Laura Friedman,CA,30,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Gilbert Cisneros,CA,31,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Brad Sherman,CA,32,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Pete Aguilar,CA,33,Democrat,92%,95%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Jimmy Gomez,CA,34,Democrat,92%,99%,✓,◯,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Norma Torres,CA,35,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Ted Lieu,CA,36,Democrat,92%,97%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Sydney Kamlager-Dove,CA,37,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Linda T. Sánchez,CA,38,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,◯,✓,✓
Rep. Mark Takano,CA,39,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Young Kim,CA,40,Republican,0%,13%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Ken Calvert,CA,41,Republican,0%,14%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Robert Garcia,CA,42,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Maxine Waters,CA,43,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Nanette Barragán,CA,44,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Derek Tran,CA,45,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. J. Luis Correa,CA,46,Democrat,92%,91%,✓,✓,✓,✓,✓,✓,◯,✓,ｘ,✓,✓,✓,✓
Rep. Dave Min,CA,47,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Darrell Issa,CA,48,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mike Levin,CA,49,Democrat,92%,99%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Scott Peters,CA,50,Democrat,100%,90%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Sara Jacobs,CA,51,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Juan Vargas,CA,52,Democrat,100%,99%,◯,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Diana DeGette,CO,1,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Joe Neguse,CO,2,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jeff Hurd,CO,3,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Lauren Boebert,CO,4,Republican,0%,4%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Jeff Crank,CO,5,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Jason Crow,CO,6,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Brittany Pettersen,CO,7,Democrat,100%,100%,✓,◯,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Gabe Evans,CO,8,Republican,8%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. John B. Larson,CT,1,Democrat,100%,98%,◯,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Joe Courtney,CT,2,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,◯
Rep. Rosa DeLauro,CT,3,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jim Himes,CT,4,Democrat,100%,94%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jahana Hayes,CT,5,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Sarah McBride,DE,0,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Jimmy Patronis,FL,1,Republican,0%,0%,,,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Neal Dunn,FL,2,Republican,0%,12%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
