Name,State,District,Party,Score,Lifetime Score,Letter to President Trump demanding reinstatement of NLRB Member Gwynn Wilcox,"H.R. 77, the Midnight Rules Relief Act. (H.R. 77)","H.R. 1526, The No Rogue Ruling Act (“NORRA”) (H.R. 1526)","H.Con.Res.14, House Fiscal Year 2025 Budget Resolution (H.Con.Res.14)","H.R. 22, The Safeguard American Voter Eligibility (SAVE) Act (H.R. 22)","H.R. 1, One Big Beautiful Bill Act (H.R. 1)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.R. 1, One Big Beautiful Bill Act, Cruz Amendment (H.R. 1)","H.R. 3633, Digital Asset Market Clarity Act of 2025 (H.R. 3633)","H.R. 4, Rescissions Act of 2025 (H.R. 4)","H.Res. 936, Rule for National Defense Authorization Act for Fiscal Year 2026 (H.Res. 936)","H.R. 2550, Protecting America's Workforce Act (H.R. 2550)","H.R. 6703, Lower Health Care Premiums for All Americans Act  (H.R. 6703)"
Rep. Eric Sorensen,IL,17,Democrat,92%,95%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Frank Mrvan,IN,1,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Rudy Yakym,IN,2,Republican,0%,4%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Marlin Stutzman,IN,3,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. James Baird,IN,4,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Victoria Spartz,IN,5,Republican,8%,4%,ｘ,ｘ,ｘ,✓,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Jefferson Shreve,IN,6,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. André Carson,IN,7,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Mark B. Messmer,IN,8,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Erin Houchin,IN,9,Republican,0%,7%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Tracey Mann,KS,1,Republican,0%,1%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Derek Schmidt,KS,2,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Sharice Davids,KS,3,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Ron Estes,KS,4,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. James Comer,KY,1,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Brett Guthrie,KY,2,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Morgan McGarvey,KY,3,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Thomas Massie,KY,4,Republican,42%,16%,ｘ,ｘ,ｘ,✓,ｘ,✓,ｘ,✓,◯,ｘ,✓,ｘ,✓
Rep. Harold Rogers,KY,5,Republican,0%,14%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Andy Barr,KY,6,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Steve Scalise,LA,1,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Troy Carter,LA,2,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Clay Higgins,LA,3,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mike Johnson,LA,4,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Julia Letlow,LA,5,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Cleo Fields,LA,6,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Richard E. Neal,MA,1,Democrat,100%,98%,◯,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jim McGovern,MA,2,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Lori Trahan,MA,3,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jake Auchincloss,MA,4,Democrat,92%,97%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Katherine Clark,MA,5,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Seth Moulton,MA,6,Democrat,92%,97%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Ayanna Pressley,MA,7,Democrat,100%,94%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Stephen F. Lynch,MA,8,Democrat,100%,99%,◯,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Bill Keating,MA,9,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Andy Harris,MD,1,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
"Rep. Johnny Olszewski, Jr.",MD,2,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Sarah Elfreth,MD,3,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Glenn Ivey,MD,4,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Steny H. Hoyer,MD,5,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. April McClain Delaney,MD,6,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Kweisi Mfume,MD,7,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jamie Raskin,MD,8,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Chellie Pingree,ME,1,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Jared Golden,ME,2,Democrat,85%,85%,✓,✓,✓,✓,ｘ,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Jack Bergman,MI,1,Republican,0%,17%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. John Moolenaar,MI,2,Republican,0%,14%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Hillary Scholten,MI,3,Democrat,92%,93%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Bill Huizenga,MI,4,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Tim Walberg,MI,5,Republican,0%,12%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Debbie Dingell,MI,6,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Tom Barrett,MI,7,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Kristen McDonald Rivet,MI,8,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Lisa McClain,MI,9,Republican,0%,4%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. John James,MI,10,Republican,0%,7%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Haley Stevens,MI,11,Democrat,92%,99%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Rashida Tlaib,MI,12,Democrat,100%,95%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Shri Thanedar,MI,13,Democrat,92%,98%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Brad Finstad,MN,1,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Angie Craig,MN,2,Democrat,92%,98%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Kelly Morrison,MN,3,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Betty McCollum,MN,4,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Ilhan Omar,MN,5,Democrat,100%,94%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Tom Emmer,MN,6,Republican,0%,18%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Michelle Fischbach,MN,7,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Pete Stauber,MN,8,Republican,8%,30%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Wesley Bell,MO,1,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Ann Wagner,MO,2,Republican,0%,13%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
"Rep. Robert F. Onder, Jr.",MO,3,Republican,0%,0%,ｘ,ｘ,ｘ,◯,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mark Alford,MO,4,Republican,0%,7%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Emanuel Cleaver II,MO,5,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Sam Graves,MO,6,Republican,0%,17%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Eric Burlison,MO,7,Republican,0%,2%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ,ｘ
Rep. Jason Smith,MO,8,Republican,0%,9%,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Trent Kelly,MS,1,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Bennie Thompson,MS,2,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Michael Guest,MS,3,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mike Ezell,MS,4,Republican,0%,4%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Ryan Zinke,MT,1,Republican,0%,14%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Troy Downing,MT,2,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Donald G. Davis,NC,1,Democrat,92%,82%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Deborah Ross,NC,2,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Greg Murphy,NC,3,Republican,0%,11%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯
Rep. Valerie Foushee,NC,4,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Virginia Foxx,NC,5,Republican,0%,8%,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Addison P. McDowell,NC,6,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. David Rouzer,NC,7,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mark Harris,NC,8,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Richard Hudson,NC,9,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Pat Harrigan,NC,10,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Chuck Edwards,NC,11,Republican,0%,4%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Alma Adams,NC,12,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Brad Knott,NC,13,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Tim Moore,NC,14,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Julie Fedorchak,ND,0,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Mike Flood,NE,1,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Don Bacon,NE,2,Republican,8%,27%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Adrian Smith,NE,3,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Chris Pappas,NH,1,Democrat,92%,98%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Maggie Goodlander,NH,2,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Donald W. Norcross,NJ,1,Democrat,100%,98%,✓,✓,◯,◯,◯,✓,◯,✓,✓,✓,✓,✓,✓
Rep. Jefferson Van Drew,NJ,2,Republican,8%,44%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
"Rep. Herbert C. Conaway, Jr.",NJ,3,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Christopher H. Smith,NJ,4,Republican,8%,49%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Josh Gottheimer,NJ,5,Democrat,92%,91%,✓,◯,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Frank Pallone,NJ,6,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Thomas Kean,NJ,7,Republican,8%,23%,◯,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Robert Menendez,NJ,8,Democrat,92%,98%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Nellie Pou,NJ,9,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. LaMonica McIver,NJ,10,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Mikie Sherrill,NJ,11,Democrat,90%,99%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,,,
Rep. Bonnie Watson Coleman,NJ,12,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Melanie Stansbury,NM,1,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Gabe Vasquez,NM,2,Democrat,92%,96%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Teresa Leger Fernandez,NM,3,Democrat,100%,100%,✓,◯,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Dina Titus,NV,1,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Mark Amodei,NV,2,Republican,8%,16%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Susie Lee,NV,3,Democrat,92%,97%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Steven Horsford,NV,4,Democrat,92%,99%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Nick LaLota,NY,1,Republican,8%,19%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Andrew Garbarino,NY,2,Republican,8%,23%,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Thomas Suozzi,NY,3,Democrat,92%,94%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,◯,✓,✓,✓
Rep. Laura Gillen,NY,4,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Gregory W. Meeks,NY,5,Democrat,100%,95%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Grace Meng,NY,6,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Nydia M. Velázquez,NY,7,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Hakeem Jeffries,NY,8,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Yvette D. Clarke,NY,9,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Dan Goldman,NY,10,Democrat,92%,98%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Nicole Malliotakis,NY,11,Republican,15%,24%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Jerrold Nadler,NY,12,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,◯,◯,✓
Rep. Adriano Espaillat,NY,13,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Alexandria Ocasio-Cortez,NY,14,Democrat,100%,92%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Ritchie Torres,NY,15,Democrat,92%,99%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. George Latimer,NY,16,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Michael Lawler,NY,17,Republican,8%,23%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ,✓,ｘ
Rep. Patrick Ryan,NY,18,Democrat,92%,96%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Josh Riley,NY,19,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Paul Tonko,NY,20,Democrat,100%,99%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Elise Stefanik,NY,21,Republican,0%,29%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. John W. Mannion,NY,22,Democrat,92%,92%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. Nick Langworthy,NY,23,Republican,0%,10%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Claudia Tenney,NY,24,Republican,0%,15%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Joe Morelle,NY,25,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Timothy M. Kennedy,NY,26,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Greg Landsman,OH,1,Democrat,92%,93%,✓,✓,✓,✓,✓,✓,✓,✓,ｘ,✓,✓,✓,✓
Rep. David J. Taylor,OH,2,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Joyce Beatty,OH,3,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,◯,✓,✓,✓,✓,✓,✓
Rep. Jim Jordan,OH,4,Republican,0%,5%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Robert E. Latta,OH,5,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Michael A. Rulli,OH,6,Republican,0%,8%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Max Miller,OH,7,Republican,0%,14%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,◯,ｘ,ｘ
Rep. Warren Davidson,OH,8,Republican,8%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Marcy Kaptur,OH,9,Democrat,100%,98%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Michael R. Turner,OH,10,Republican,31%,31%,ｘ,ｘ,✓,ｘ,ｘ,ｘ,✓,ｘ,ｘ,✓,ｘ,✓,ｘ
Rep. Shontel Brown,OH,11,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Troy Balderson,OH,12,Republican,0%,17%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Emilia Sykes,OH,13,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Dave Joyce,OH,14,Republican,8%,36%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,✓,ｘ
Rep. Mike Carey,OH,15,Republican,0%,17%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Kevin Hern,OK,1,Republican,0%,6%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Josh Brecheen,OK,2,Republican,0%,0%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Frank D. Lucas,OK,3,Republican,0%,14%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Tom Cole,OK,4,Republican,0%,18%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Stephanie Bice,OK,5,Republican,0%,9%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Suzanne Bonamici,OR,1,Democrat,100%,97%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Rep. Cliff Bentz,OR,2,Republican,0%,5%,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
Rep. Maxine Dexter,OR,3,Democrat,100%,100%,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
